Credit_Card,Age,Student,Account_Balance,CS,GEXP_1,DIN_1,TRANS_1,ENT_1,GROC_1,HOTEL_1,AIR_1,GEXP_2,DIN_2,TRANS_2,ENT_2,GROC_2,HOTEL_2,AIR_2,GEXP_3,DIN_3,TRANS_3,ENT_3,GROC_3,HOTEL_3,AIR_3,student_exp1,student_exp2,student_exp3,total_qs1,total_journey_over,qs_total,bp_total,savorone,ventureone
QuickSilverOne,2,1,1000-10000,Average,5030.006305,2794.945283,3889.958669,2624.820637,2334.716385,668.4469943,1233.796397,5563.187588,3920.710473,4723.017819,1936.886462,2441.769107,931.1941795,1988.301024,6176.593985,3260.515945,7589.114036,2326.057943,2745.584989,1009.562112,2248.18303,17927.7079,21544.84194,24236.191,838.6311127,796.3592605,0,0,0,0
JourneyStudent,2,1,1000-10000,Average,4789.815767,2372.54349,3761.291061,2087.581072,3242.869378,552.726292,1150.13841,5707.144652,2613.172585,6353.719534,2068.775297,3899.078845,772.1536069,2158.857728,6389.664799,3661.262535,7285.638973,1589.454779,4647.146646,579.934556,2382.169763,8621.27027,8623.281477,8280.726726,265.8791771,319.0659809,0,0,0,0
JourneyStudent,6,1,>10000,Average,4514.136202,2869.976055,3770.420966,2673.646748,2284.566493,614.8978172,1175.701588,5657.656813,2644.101751,3640.569448,1904.283314,2967.142346,566.1670317,2184.155352,9153.852119,2093.818494,5325.175339,2571.11793,3701.062296,567.328956,2822.560926,14959.3488,12293.69309,14340.42606,506.9020192,519.9183494,0,0,0,0
QuickSilverOne,3,0,100-1000,Average,4729.34454,2991.280126,3886.051446,3016.263165,2055.198106,412.4597524,1758.362115,6166.833319,4003.369983,5378.3884,3130.852809,1562.699733,381.7837246,1883.778476,8794.770313,5063.523704,7797.195306,4520.543172,1831.834947,311.1179902,1472.827706,0,0,0,243.7343888,0,0,0,0,0
JourneyStudent,2,1,>10000,Average,4903.810613,2439.901141,3356.163773,3002.965179,3176.395439,444.8705266,1591.98277,5460.568491,3032.546122,5313.471656,2754.308613,5458.831356,434.0780583,1960.999869,5926.641434,2129.701413,4795.442531,4105.366268,5907.334056,368.9594004,3246.308164,14165.28043,12105.29499,14098.89554,488.5420644,504.618387,0,0,0,0
QuickSilverOne,1,0,1000-10000,Average,4311.854919,3228.500911,3159.000198,2935.822472,3955.054364,399.2395792,1067.115823,5203.681859,4483.427135,2865.939252,3556.314857,4153.108101,364.5024366,915.3415441,4426.617868,3641.302025,2097.139148,2786.296261,3421.950094,335.3904042,1091.695191,0,0,0,246.848824,0,0,0,0,0
QuickSilverOne,2,0,100-1000,Average,4118.402334,3201.949908,3855.597153,2608.044091,3038.93467,654.062883,1167.234971,4853.419336,4553.936729,3856.846171,2009.29755,2271.895362,641.4023814,1324.50558,6670.193235,6612.530745,4706.793636,2655.360104,2773.888221,640.7328966,1295.992453,0,0,0,240.6633902,0,0,0,0,0
QuickSilverOne,4,1,1000-10000,Average,4947.358491,2820.489603,3399.348576,2720.419129,3320.379259,550.4990434,1043.763821,8258.044292,4111.404164,5646.926095,2571.368616,4645.987008,694.2575901,1512.335683,9805.987702,5249.44895,6228.352551,3557.698375,4698.348492,757.3288631,2463.460062,16791.06688,14194.19584,15906.32233,586.3737757,586.144813,0,0,0,0
QuickSilverOne,3,0,1000-10000,Average,5526.612855,2752.010663,3630.986041,2270.710315,3059.319091,483.6966803,1354.491273,4647.376614,2057.689107,5372.944218,2543.272322,3979.631469,343.0519827,1074.491961,3620.322577,1923.592294,3826.663829,2598.436025,3579.855981,505.747997,1581.775552,0,0,0,247.1674038,0,0,0,0,0
QuickSilverOne,5,0,<100,Average,4410.469778,3187.473575,3693.470016,2860.007879,4316.262787,443.5677548,1327.777909,3617.926357,4452.290951,5313.050644,2403.180731,3592.250819,662.2565638,1466.742169,3736.146006,4090.407452,6220.783688,2159.576296,5236.179173,926.5289535,1398.923063,0,0,0,264.5854455,0,0,0,0,0
QuickSilverOne,3,0,<100,Average,4484.127665,2472.416298,3240.442122,2523.774885,3304.367229,598.0379656,1185.369657,5278.297669,2442.163272,2770.645455,3504.134911,4147.09712,562.9488751,1542.082007,3815.527776,2845.830844,2811.309643,4996.597661,4492.26995,595.6366377,1175.226132,0,0,0,228.1280373,0,0,0,0,0
QuickSilverOne,2,1,100-1000,Average,4895.487489,2806.175466,4649.448174,2554.706995,2612.359599,650.3926532,1063.30663,5359.007005,3038.521007,4575.391244,1981.932189,4116.727714,652.0974085,1388.521235,5683.002887,4229.133175,5898.669975,2638.309178,5127.980523,841.1449671,2488.855472,19462.00295,22045.02464,18470.72353,782.6662668,749.721889,0,0,0,0
QuickSilverOne,3,1,1000-10000,Average,3531.435681,3187.742802,3653.92499,2943.288875,3383.475189,496.782028,1672.704787,6165.964615,2914.075477,6038.643868,2129.717153,4960.468263,623.8547994,2819.70767,6757.628764,3298.705061,5750.177744,3026.060164,6434.18338,919.0167052,3267.31795,14115.38497,18146.29935,15854.3574,604.7406259,601.4505216,0,0,0,0
QuickSilverOne,5,0,>10000,Average,4174.765021,3118.697531,3541.275927,2724.933833,2515.789546,555.8329513,1331.721589,5712.398345,3535.506066,4584.866216,2703.225112,2650.184041,412.9284698,1474.861014,7076.585714,2918.076126,5683.661951,4039.83492,3428.893451,474.9687551,1664.253513,0,0,0,230.445246,0,0,0,0,0
QuickSilverOne,2,0,100-1000,Average,4781.987431,2428.493965,4570.861647,2748.753778,1672.343767,606.9277972,991.1092239,3770.837488,1953.951032,4607.978032,2495.244312,1248.614399,732.7277296,804.2651763,5056.330393,2061.019358,5279.263856,1815.031905,1122.707104,580.1158044,982.64885,0,0,0,228.0071641,0,0,0,0,0
QuickSilverOne,6,0,>10000,Average,4291.93891,2612.219943,3374.278417,2888.101621,3217.25483,644.1191831,1897.311594,3990.998222,3537.537374,4232.144997,4296.214126,3154.964535,609.8626809,2009.186134,3196.973183,3405.776566,3069.316898,3165.429569,3126.952908,861.8017122,1611.462899,0,0,0,244.8783675,0,0,0,0,0
QuickSilverOne,5,0,1000-10000,Average,4980.366376,2237.358104,3509.822224,2402.356594,2496.627718,547.5564955,1490.345886,4483.68071,2241.872037,4285.97664,3263.835938,2078.707815,761.2918024,1769.731965,6558.98157,2424.304563,5317.557479,4498.215012,1988.80801,836.666097,1836.581645,0,0,0,225.966501,0,0,0,0,0
JourneyStudent,2,1,<100,Average,4707.726914,2599.455022,3362.359811,2723.844937,2248.68193,539.0106071,1315.119295,6981.981908,3867.382999,4257.830794,2052.984954,3524.917247,492.4445435,1554.423953,9253.47109,3708.69509,4529.720258,1872.523495,5843.136452,725.4615905,2360.189142,12078.85433,9794.093353,10838.43547,373.6707473,408.8922894,0,0,0,0
QuickSilverOne,1,1,100-1000,Average,4637.398289,2734.712044,3551.70595,1584.305253,1506.000888,631.6277381,1353.231386,5259.180647,3167.577687,6067.049286,1478.043599,2648.368987,505.2651579,2469.674051,8750.950379,3216.27421,9702.873432,1631.717592,3278.159931,755.0662294,2633.637296,19751.37454,23035.96719,16412.30181,770.9946531,739.9955442,0,0,0,0
QuickSilverOne,1,0,>10000,Average,4447.139889,2205.204356,2846.06331,2380.013853,3579.780699,596.7154374,992.7336619,3174.07744,2888.148347,3018.288185,2751.031182,4253.96594,649.2184773,756.1241285,4670.300864,3474.74923,3503.775757,2591.08886,4063.557403,631.0323303,772.0714858,0,0,0,216.7147681,0,0,0,0,0
QuickSilverOne,6,1,>10000,Average,4084.641277,2240.374734,4050.947389,2628.95987,4217.973144,542.5222169,1493.675291,7307.179279,1638.649594,6007.076935,3315.921771,5159.867922,467.2428797,1720.024103,6649.185045,1226.699554,7556.662225,4067.352269,8311.421448,660.2839432,3061.998367,16956.33133,16135.70879,17596.00277,643.3206434,633.6005361,0,0,0,0
QuickSilverOne,6,0,100-1000,Average,4756.743247,2693.199229,4548.932631,2411.712892,3228.395198,602.9167842,1034.990268,4057.931847,2809.349834,5759.700417,2304.539724,4518.04301,596.1630866,1479.018585,4368.232923,2380.155057,7783.78707,2966.670308,6471.327628,599.1901899,1385.105163,0,0,0,250.1533538,0,0,0,0,0
QuickSilverOne,6,1,>10000,Average,4210.181727,2912.959883,4215.464499,2764.039544,2161.820349,678.9971698,1793.612341,7455.328706,3750.725399,5777.684817,3505.758288,3341.085329,734.5367415,2500.650759,7352.363677,4739.577508,7272.609641,2724.382481,3260.246976,916.5380669,3706.969119,13869.71558,17740.80347,17860.09244,625.0591723,618.3826436,0,0,0,0
QuickSilverOne,5,1,>10000,Average,4257.622817,3381.063461,4172.60899,3011.021215,3338.6301,511.84035,1791.369541,5184.504057,3236.026407,4946.577431,3734.619277,4654.009315,751.9310445,2211.975211,8595.718644,4202.453422,6539.737748,4340.340381,6715.742648,626.9004233,3805.495596,15740.94998,17821.37485,14691.05828,606.8007466,603.1672888,0,0,0,0
QuickSilverOne,6,0,1000-10000,Average,5532.354162,2615.826786,4285.948825,2538.622957,3655.459706,559.7621679,1604.423274,6111.120106,2796.794868,5554.982942,3582.11192,2669.933024,504.4597873,2313.403062,5534.147026,4025.999869,6830.437643,4432.966785,3081.573168,567.8081331,1735.192763,0,0,0,272.8859682,0,0,0,0,0
JourneyStudent,1,1,100-1000,Average,5025.842291,2873.205334,3682.980602,2110.526997,2809.242885,630.8886796,1062.147998,8262.613271,4175.617206,3627.965924,2047.388727,4683.547229,703.3432946,1929.192259,13665.23012,5514.504497,4102.537804,2799.861961,5078.329144,788.9502622,3230.841806,9259.083846,10079.41811,9457.081204,314.9337474,359.9447895,0,0,0,0
QuickSilverOne,4,1,1000-10000,Average,4574.161235,3191.969949,3729.360289,2386.38179,2053.64152,619.0760427,1566.144717,7559.028723,3970.182744,3913.164495,2826.365254,2664.049019,593.9651338,2062.341924,10634.77723,5307.036654,4761.432937,2449.010472,3961.519641,583.5766086,2897.684378,15085.5872,18501.86693,18353.29132,662.1111818,649.2593182,0,0,0,0
JourneyStudent,4,1,100-1000,Average,4769.151502,2819.69251,3147.931805,2274.957477,3767.984239,561.4328284,1536.607632,5206.346459,3298.428424,3260.134968,2245.319145,6384.398518,562.11156,2476.134426,9087.722791,4394.936032,3326.055173,2520.216404,6272.689716,570.1846141,3790.565666,10188.491,10199.51837,8053.692954,309.6255348,355.521279,0,0,0,0
QuickSilverOne,1,0,>10000,Average,4932.247142,2865.770595,3043.060857,2684.528574,1938.223413,590.0048166,2006.814095,4044.296126,2643.119698,4056.816001,2514.093599,2155.882473,762.4135215,2891.970571,3909.634488,2711.675587,3127.971144,2118.283591,1603.745844,898.464148,2790.17528,0,0,0,231.9097424,0,0,0,0,0
QuickSilverOne,2,0,>10000,Average,4514.470026,2310.718078,3378.80956,2817.560105,2937.266359,514.1319954,1635.668784,5929.062715,2292.421192,3073.759382,3729.498667,3665.294559,633.3691042,1663.559317,4588.562746,2599.874306,3774.377671,3645.82417,4087.052237,647.6535471,2291.968114,0,0,0,232.6293736,0,0,0,0,0
JourneyStudent,4,1,>10000,Average,5450.919682,2915.065036,4371.67266,1926.928036,3296.32163,682.6139872,1365.840598,5862.064125,2474.945386,6416.059629,1753.672574,4079.990325,834.054763,2091.164649,7375.111789,2408.165445,7875.300952,1627.236522,6524.368987,980.0537212,2915.976229,15231.63171,13765.9387,17085.42289,574.2448996,576.0374164,0,0,0,0
JourneyStudent,2,1,<100,Average,5332.015529,3028.186566,3645.77443,1620.68523,2085.775208,724.5196296,1540.527193,7476.753298,2732.18747,4094.809271,1852.375648,2676.407067,981.696956,2807.840175,8367.466838,4093.563928,5551.752726,1344.481348,3741.847253,1308.494979,2538.801947,12217.00901,9519.826701,10621.20497,368.3706102,404.4755085,0,0,0,0
JourneyStudent,2,1,>10000,Average,4102.001991,3122.647654,3380.063707,1504.026293,2753.994924,734.2345603,1317.448958,4517.978881,2565.42471,4127.143102,1724.682061,3476.312692,1068.610163,1900.892283,4955.377134,2656.237422,6455.357998,2355.251594,3246.640797,958.5217222,2304.020741,11411.99455,10039.53934,9790.315014,351.6277336,390.5231113,0,0,0,0
JourneyStudent,4,1,>10000,Average,3858.311343,2770.179671,3873.462951,2270.221791,3473.726225,492.7650048,1242.333737,6995.073132,4032.482289,4636.89586,2094.565594,3393.197629,729.6875155,1777.990751,6941.566175,4750.783104,6270.095668,2273.867995,4713.463194,940.5693034,2758.813249,18623.17203,13601.87123,13274.2171,565.4889055,568.7407546,0,0,0,0
JourneyStudent,1,1,<100,Average,5021.745374,2582.642133,3453.355074,2389.170944,2412.953249,599.6327453,1294.152353,6640.453531,3651.167457,4212.747797,1676.578398,4302.788672,773.2473051,1583.317301,6416.941205,4406.324374,4320.632037,2361.391794,5447.757679,1136.978478,1667.88259,10955.33749,9050.560011,8437.824587,309.6558314,355.5465261,0,0,0,0
QuickSilverOne,4,0,>10000,Average,5131.309987,3221.048242,3195.195539,3052.189619,3301.071795,540.1072747,1255.059723,5849.602976,3691.501962,4009.60607,3776.016742,3332.654146,473.0011636,1364.475483,7871.851111,4145.103312,5072.563535,2972.355732,3440.159566,533.4232022,1277.721247,0,0,0,256.4397327,0,0,0,0,0
QuickSilverOne,1,0,>10000,Average,4346.337998,2969.499068,3982.555511,2319.446561,2573.861041,368.2236415,1502.350896,3271.08952,3148.49502,4204.176875,1924.415561,3478.991436,393.9835308,1538.447667,4378.324597,2365.309865,5753.199509,2527.045118,4673.451271,509.8409731,1882.038357,0,0,0,231.9341207,0,0,0,0,0
QuickSilverOne,5,0,>10000,Average,4484.247209,2778.854935,3017.790291,2905.253006,3909.006551,641.7691203,936.2436004,5525.645533,2201.441574,2493.657722,3303.399643,4538.889676,802.6303957,686.6088363,5512.508179,3142.268003,2695.809618,2966.398077,5154.257126,805.8766958,1028.35594,0,0,0,241.0974707,0,0,0,0,0
QuickSilverOne,3,0,>10000,Average,4688.929125,2744.617251,3523.060208,2017.029426,3965.35322,557.2430207,853.7678716,6466.45124,3024.329109,4728.268782,1824.282276,5629.318343,476.9775407,912.7921778,5479.597969,3140.348358,6916.276234,1905.093173,4680.687556,420.6328485,850.4641483,0,0,0,236.2500018,0,0,0,0,0
QuickSilverOne,2,0,1000-10000,Average,4733.270023,2755.196703,3374.196823,2110.23673,3392.090421,663.7019797,1159.881235,6637.22686,4062.254834,4570.705476,2373.38022,3581.399867,595.631088,1558.535912,6073.919238,5206.943753,4403.970544,2932.117529,2718.412353,572.0866512,1846.274294,0,0,0,233.8286087,0,0,0,0,0
QuickSilverOne,1,0,>10000,Average,4635.45818,3482.800368,3120.02487,2849.513687,2743.766098,470.5140965,945.3212987,5892.957311,2770.40489,2454.750262,2582.333696,3584.780279,645.4923359,791.3202473,5343.699412,2759.763809,1956.890707,3057.8082,4887.623742,678.9176797,828.5988493,0,0,0,234.710979,0,0,0,0,0
QuickSilverOne,4,0,1000-10000,Average,3714.326473,2877.15893,3601.051941,2102.619074,3801.806527,490.4873356,1481.537428,5333.880047,2424.854217,3399.256625,2515.06722,5253.564901,446.6246422,1880.780632,6384.064996,3588.440412,3714.421973,3736.852519,7498.728406,460.9432491,2380.779329,0,0,0,232.0348156,0,0,0,0,0
QuickSilverOne,2,0,1000-10000,Average,4057.093203,2871.845487,3846.823862,2551.631173,2695.647066,552.0690181,1397.176139,3302.527873,2681.740416,4500.760755,3756.685301,2588.482438,534.359911,1579.52276,3894.140023,2048.561565,3214.884871,2842.974144,3186.813663,552.6870236,2170.69427,0,0,0,230.5842892,0,0,0,0,0
QuickSilverOne,3,1,>10000,Average,4670.515632,2554.416784,3301.509901,2356.933831,2653.476161,644.292929,1496.235165,5355.162185,2775.396747,3489.887184,2200.491304,3568.745555,623.6348686,2347.140606,9423.964658,3990.115293,5388.990771,2319.418367,4510.474127,623.0688819,3434.2181,20716.23365,19403.30079,23803.11279,841.8397085,799.0330904,0,0,0,0
QuickSilverOne,6,1,<100,Average,4304.127254,3246.573022,3506.686564,2479.937556,3846.186385,392.2962782,781.7029248,7119.322931,3650.803861,5808.678117,3661.212885,4347.181601,536.0519588,1341.874883,10052.12175,5342.064445,6101.502111,4128.919464,4432.836762,595.1313097,2488.04012,15577.00375,14949.85829,18614.32294,620.1177746,614.2648122,0,0,0,0
QuickSilverOne,2,1,<100,Average,4523.401652,2652.630996,3632.149904,2834.699163,2907.263704,515.1292458,1354.547716,5794.120653,2612.409582,3941.58148,3126.744971,3874.602111,512.6360952,1686.99274,8805.765807,2998.561118,4427.996141,2350.831551,4053.985079,591.2089468,2824.080771,19073.97849,17472.86997,17925.04667,700.0784269,680.8986891,0,0,0,0
QuickSilverOne,6,1,<100,Average,5332.92282,2649.739534,3756.712118,3266.989066,2924.071728,706.534368,882.5846416,7293.711062,2914.056461,4108.06635,2946.772959,4135.698598,771.9802697,1584.739112,9071.961679,3940.404693,6876.141093,3473.004394,6216.891884,656.0089422,2839.192982,17853.83553,21049.85371,19477.05733,758.7111985,729.7593321,0,0,0,0
QuickSilverOne,6,1,<100,Average,5072.241324,3222.794018,3630.747308,2357.678681,3382.466666,652.8160908,1503.133217,5482.442344,2987.837738,6234.635355,2809.087463,3735.853414,563.6800678,2014.146823,6532.305751,3390.049544,6547.02498,2883.919084,3673.41388,601.7534075,3339.528005,18567.59023,20872.45208,22983.62921,819.3550729,780.2958941,0,0,0,0
JourneyStudent,6,1,>10000,Average,5136.835691,2449.797839,3623.541831,1792.302432,2767.981441,694.6730026,1239.576394,8443.817791,2323.514464,3766.854268,2036.545109,4411.800602,833.5928174,2136.071878,7610.169914,2021.891109,6422.228405,1966.45676,4201.67623,1055.780506,3602.995239,11554.49277,11151.47249,10880.12947,386.7914208,419.826184,0,0,0,0
QuickSilverOne,5,0,1000-10000,Average,4640.71571,2870.852002,3762.439215,3138.185183,3099.174259,508.346753,1229.901054,4196.910508,2119.101484,4422.184459,2386.424812,4334.082084,601.947553,1600.014748,5472.179541,3061.537342,5474.056311,3001.008192,3069.539521,738.5390321,1126.521214,0,0,0,249.7442126,0,0,0,0,0
QuickSilverOne,6,0,1000-10000,Average,4318.237106,2256.012177,3212.96838,2616.013913,3356.318373,377.790545,1925.421997,5895.271264,2518.441154,2619.669513,3388.327527,4191.32932,347.8795891,2186.818854,6759.555891,2522.862679,1974.999241,4565.513773,4808.33603,299.5939835,2353.008783,0,0,0,231.9414374,0,0,0,0,0
JourneyStudent,1,1,>10000,Average,4924.104016,3093.645206,4100.983861,2678.128367,3705.395906,618.2472977,1142.444242,6394.504713,3188.108937,5008.212779,2054.481145,4340.21444,501.3217788,1830.0321,8005.493195,3032.5103,4846.467299,2577.960168,6203.934492,741.0738877,2234.022853,12018.74828,8594.716194,8593.549969,321.1052167,365.0876806,0,0,0,0
QuickSilverOne,5,1,<100,Average,5242.278536,2453.949295,3748.751978,2338.786092,3045.468481,740.9484308,1369.231162,8768.795799,2889.355847,3862.476596,2805.740677,4909.795473,550.2503916,2189.809781,13195.14976,3275.366017,6342.574901,2932.384142,4781.56874,714.8354861,3484.098579,20414.44577,23924.55218,30121.46962,999.9070135,930.7558446,0,0,0,0
QuickSilverOne,5,1,1000-10000,Average,5149.563434,2193.862784,3473.99105,1980.099218,2507.355922,555.7573611,1170.262198,6591.243307,2324.8973,4544.613244,2536.996023,2991.287051,462.7723283,1364.732659,10094.54574,3272.22813,6800.399625,2256.495453,2960.190912,465.7844169,2349.370502,14702.1494,17426.79556,20934.62528,678.9535537,663.2946281,0,0,0,0
JourneyStudent,1,1,>10000,Average,4881.624806,2605.484263,3517.974711,2591.558779,2917.182682,572.4944972,1191.965103,4940.801919,3669.544086,5863.332232,2859.331437,4116.233534,453.3282041,2080.453603,8628.198588,2615.769091,9493.671893,3907.254256,4279.351307,559.1394966,3123.599004,12820.47952,16554.73809,16468.41546,570.654496,573.0454133,0,0,0,0
QuickSilverOne,6,0,<100,Average,4189.368474,2840.105267,3832.408072,1705.242546,4003.013507,594.4640197,1163.457528,5149.486811,2032.58944,3051.991056,2258.131716,4646.686233,620.5248659,1087.531577,5501.475819,2431.841678,2290.964907,2697.009192,4531.906515,579.7398453,1599.279068,0,0,0,235.9208912,0,0,0,0,0
QuickSilverOne,4,0,>10000,Average,4790.896825,2814.604447,3362.819832,2413.881309,2054.014417,769.9558642,942.1337868,6081.261576,2619.57569,3050.000724,2722.786248,2340.961494,950.1962635,1017.364825,5645.356803,2180.117628,2646.523644,3200.774012,2086.547208,1121.008916,821.2599139,0,0,0,218.2245972,0,0,0,0,0
QuickSilverOne,5,1,<100,Average,3842.050507,2889.696329,2833.233977,2921.306404,2765.003219,523.2759224,1901.742872,6771.557882,3388.411489,4630.93887,2285.253309,3795.417658,644.0398706,2841.011976,7233.580926,2938.497809,7786.622708,3100.889195,4273.60041,845.5301637,2893.832439,15426.964,17576.56274,22414.01516,714.2631285,692.7192737,0,0,0,0
QuickSilverOne,5,0,>10000,Average,4967.77085,2559.288515,3520.298854,3272.783619,2357.485434,639.2655158,1028.982887,4358.3102,2085.206338,2694.539189,4323.416837,3173.233788,715.5155831,1051.119827,5408.35735,1743.958989,4035.398011,5500.786258,3016.841606,873.7223267,856.2500124,0,0,0,236.1881351,0,0,0,0,0
QuickSilverOne,2,0,>10000,Average,4814.595353,3383.700144,3652.764028,2442.590504,2618.883153,565.9297749,1681.157465,4496.090381,3191.262223,2573.576909,3069.565279,3073.551815,555.4888498,2300.59174,6043.780828,3686.050698,2814.612215,3708.657479,4590.18493,539.5012167,2233.480222,0,0,0,248.3943063,0,0,0,0,0
QuickSilverOne,1,0,1000-10000,Average,5529.773539,2610.320945,2250.745337,2989.874764,3102.231885,585.3047497,996.201091,5692.352795,3027.809456,2544.714572,2318.58324,3572.327512,509.92083,1373.407269,6241.255899,4366.892391,3692.491477,1697.635383,3316.192977,678.1314921,1009.634735,0,0,0,231.9667847,0,0,0,0,0
QuickSilverOne,1,0,>10000,Average,4312.442823,2869.537,3632.927808,3059.728038,4110.065608,542.7982025,1274.614739,3645.449659,2351.329237,3416.767541,2378.534219,4218.460764,473.4153096,1338.06368,4174.048972,2702.812511,2586.165847,2994.607133,4631.436587,686.0119196,1709.567072,0,0,0,258.0317133,0,0,0,0,0
QuickSilverOne,6,0,1000-10000,Average,4171.544644,2991.453881,3453.022498,2609.265624,2740.559826,446.1985954,1822.122795,4716.97404,2422.195711,3010.118911,2590.009211,3445.938393,522.9463834,2413.916071,4031.75659,2161.766257,2974.381475,2615.134501,3617.933365,626.1176523,1700.278126,0,0,0,234.512518,0,0,0,0,0
JourneyStudent,3,1,100-1000,Average,4676.936902,3248.94462,4381.341505,2548.970036,2658.446364,660.6863218,1437.126757,8294.920497,2956.146746,6010.773404,1856.827475,4067.992822,719.2280314,2081.170112,11562.38699,2342.960583,5278.448202,2644.849266,6629.357253,919.3868973,3306.905124,12519.78984,10648.38649,12282.43517,414.7591723,443.1326436,0,0,0,0
QuickSilverOne,3,0,<100,Average,5061.494421,2872.461601,4095.153848,2244.294324,3592.467107,685.7244651,1227.501628,3570.568993,2777.595204,4161.930158,2119.341066,4944.352686,619.8800976,1771.289422,3186.037352,3654.084143,4471.403868,2607.05991,6492.137972,913.1710087,2458.632964,0,0,0,257.6864609,0,0,0,0,0
QuickSilverOne,4,0,>10000,Average,4445.080981,3136.800037,4053.893551,3237.591544,3165.613832,770.7849793,1187.944777,4061.181603,2257.722461,4120.419593,3736.028514,2563.35164,695.2829133,1639.517817,3665.730002,2958.570291,5412.015811,3171.599811,2665.879977,777.0095692,1741.476302,0,0,0,260.9656455,0,0,0,0,0
QuickSilverOne,5,0,1000-10000,Average,4378.340821,2321.361956,3778.743598,3275.161719,3197.751761,540.9202245,1548.033965,3499.895087,2216.218602,5074.490321,3961.212088,4391.11908,671.4133499,2132.802391,5172.954104,3273.199993,3622.16935,3142.128348,3506.726668,727.6927347,2573.911041,0,0,0,246.6047107,0,0,0,0,0
